target,id,text
negative,488,"also , the sandwiches ( nearing $ 7 ) did n ' t come with anything like chips or a side ."
negative,489,"overall , not worth the money ."
Negative,490,"eating in , the atmosphere saves it , but at your desk , it ' s a very disappointing experience ."
positive,491,chennai garden is my favorite indian restaurant in the city .
positive,492,they have authentic indian at amazing prices .
neutral,493,this restaurant is vegetarian 
negative,494,the seats are uncomfortable if you are sitting against the wall on wooden benches .
negative,495,it ' s a rather cramped and busy restaurant and it closes early .
positive,496,the food is tasty and portion sizes are appropriate .
positive,497,this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates .
negative,498,not a great place for family or general dining .
positive,499,food is excellent .
positive,500,fish is so very fresh .
positive,501,waitstaff are very friendly .
positive,502,love yuka .
positive,503,mermaid inn is an overall good restaurant with really good seafood .
positive,504,the lobster sandwich is good and the spaghetti with scallops and shrimp is great .
positive,505,the service is good and ambience is good for a date or group outing .
negative,506,the only fallback on this restaurant is the prices .
negative,507,"even though its good seafood , the prices are too high ."
negative,508,the lobster sandwich is $ 24 and although it was good it was not nearly enough to warrant that price .
positive,509,we were very pleasantly surprised .
Positive,510,"the food was delicious ( i had a halibut special , my husband had steak ) , and the service was top - notch ."
positive,511,"when my dessert came , there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort ."
positive,512,truly the mark of an attentive waiter .
positive,513,i highly recommend the restaurant based on our experience last night .
negative,514,we ate at this thai place following the reviews but very unhappy with the foods .
Negative,515,we thought that this place is using too much of msg cooking in the foods .
negative,516,"they do n ' t concern much of customer ' s health , just want to make money ."
negative,517,please do n ' t fool us .
positive,518,"i recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab ."
positive,519,the food is so cheap and the waiters are nice .
neutral,520,"of course , it is crowded but who cares ."
positive,521,authentic shanghai style and i can not recommend a better shanghai place in new york .
positive,522,have frequented ' ino for several years and the food remains excellent .
positive,523,cheese plate is a varied delight and great bargain at $ 10 .
positive,524,"the large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating ."
positive,525,"( the asparagus , truffle oil , parmesan bruschetta is a winner ! )"
positive,526,"be sure to try the seasonal , and always delicious , specials ."
positive,527,definitely a neighborhood favorite .
positive,528,i loved this place ! !
positive,529,i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded .
negative,530,"i like cafe noir dont get me wrong , it is jsut that the people who work there are evil and incompetent ! !"
Negative,531,"the service was terrible , we had to wait for everything and ask several of different people for the same thing before we were allowed to be served ."
negative,532,"the waitress , seems to be more concerned of looking good than actually waitressing ."
Negative,533,"after dinner the manager grabbed my boyfriend , asked him : where are you from . . . maybe you dont know how things work in america . . . and in the end stormed away almost teareyed yelling that tips are the only thing they survive on ."
Negative,534,"we did tip , i guess the model / waitress just wanted more and complained to the manager ."
positive,535,pizza here is consistently good .
positive,536,salads are a delicious way to begin the meal .
negative,537,it is thick and slightly soggy .
positive,538,decor is charming .
neutral,539,service is average .
positive,540,what a great place .
positive,541,"the ambience was so fun , and the prices were great , on top of the fact that the food was really tasty ."
negative,542,"i was n ' t thrilled to have to wait on line for thirty minutes , but i guess that ' s the price you pay for a popular place ."
positive,543,i would definitely recommend sea if you like thai cuisine !
negative,544,i was here a few weeks back and we had the worst customer service experience at a restaurant ever .
negative,545,"a gentleman , maybe the manager , came to our table , and without so much as a smile or greeting asked for our order ."
negative,546,"while it is understandable that every place is indeed different , there was not a need to be uncourteous to customers and downright rude ."
negative,547,never again !
positive,548,i absolutely loved this place .
positive,549,"excellent atmosphere , delicious dishes good and friendly service ."
positive,550,this is can became on e of the ny italian food fare institutions .
positive,551,i think that it is absolutely brilliant and well runned business operation .
positive,552,the wine list is also really nice .
positive,553,i have been to casimir over 5 times and i have always had a great time there .
positive,554,the food is great and reasonably priced .
negative,555,"i have tried to make reservations , but both times , the hostess did n ' t have my name ."
positive,556,"if the weather is nice , try to snag an outside table ."
Negative,557,"the staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often ."
positive,558,my boyfriend and i went there to celebrate my birthday the other night and all i can say is that it was magnificent .
Positive,559,"from the spectacular caviar to the hospitable waitstaff , i felt like royalty and enjoyed every second of it ."
positive,560,"considering we were the last patrons there and it was after the closing time , the waitstaff did not rush us at all and made us feel comfortable and relaxed ."
positive,561,i highly recommend caviar russe to anyone who wants delicious top grade caviar and fantastic service .
positive,562,nice family owned traditional restaurant .
positive,563,i was pleasantly surprised to find this gem in hoboken .
positive,564,"i found the food to be outstanding , particulary the salmon dish i had ."
positive,565,"i also ordered the change mojito , which was out of this world ."
positive,566,"my friends settled for rice dishes , but we came back the following day to try the dim sum , which was good . . . not outstanding , but good ."
positive,567,"we ate out in the back patio , which is worth it as it ' s cool and the music is hear well there ."
positive,568,"overall , excellent restaurant !"
positive,569,the food was good .
positive,570,the place was nice and calm .
Negative,571,but the service was a bit slow .
positive,572,the buffet had a nice selection .
positive,573,the food was average or above including some surprising tasty dishes .
positive,574,service was also very good .
positive,575,i would go back .
positive,576,i got an excellent piece of cheesecake and we had several other nice pastries .
Neutral,577,"i would recommend roxy ' s for that , but not for their food ."
positive,578,my son and his girlfriend both wanted cheeseburgers and they were huge !
negative,579,"but , they were too big for the bun ."
Negative,580,"consequently , their burgers fell apart in their hands and made such a mess that they did ' nt feel like finishing them ."
neutral,581,also they were $ 15 each !
positive,582,i had a huge pastrami sandwich on a roll .
Negative,583,it was $ 14 not really bad for a pound of pastrami - but it did n ' t have much taste - i ' ve had better for less elsewhere !
Negative,584,"this place is really trendi but they have forgotten about the most important part of a restaurant , the food ."
Negative,585,"the last two times i ordered from here my food was soo spicy that i could barely eat it , and the spice took away from the flavor of the dish ."
negative,586,and the tom kha soup was pathetic .
negative,587,if you want good authentic thai this place is not the place to go .
positive,588,"we went here for lunch a couple of weeks ago on a saturday , and i was thoroughly impressed with the food ."
positive,589,"the pesto pizza was excellent , thin - crust pizza with a nice amount of spicy italian cheese that i ' d never heard of before ."
neutral,590,"conveniently located too , being right on bedford ave ."
positive,591,"the back garden sitting area is very pleasant , where you can see their personal herb garden ."
positive,592,we had the lobster sandwich and it was fantastic .
positive,593,"my husband said he could ' ve eaten several more , the portion was fine for me he even exclaimed that the french fries were the best he has had ."
positive,594,we had the scallops as an appetizer and they were delicious and the sauce was wonderful .
positive,595,we waited at the bar and had martinis that were just right .
positive,596,love the food .
positive,597,it ' s the only place you can get yummy authentic japanese comfort food .
positive,598,and you ca n ' t beat the prices .
positive,599,i ' ve lived in ny for 5 years and this place has it all .
positive,600,"great food , good size menu , great service and an unpretensious setting ."
positive,601,"the dishes offered were unique , very tasty and fresh from the lamb sausages , sardines with biscuits , large whole shrimp to the amazing pistachio ice cream ( the best and freshest i ' ve ever had ) ."
positive,602,i ' m glad i was introduced to this place and this is a rare gem in ny .
positive,603,"the freshest , best variety , and the fastest delivery ."
positive,604,also very inexpensive .
positive,605,the service was excellent and the food was delicious .
positive,606,"we are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura ."
positive,607,definitely a great spot for a nice occasion or date .
Neutral,608,"average to good thai food , but terrible delivery ."
negative,609,i ' ve waited over one hour for food .
Negative,610,they were very abrupt with me when i called and actually claimed the food was late because they were out of rice .
negative,611,a thai restaurant out of rice during dinner ?
Negative,612,"the food arrived 20 minutes after i called , cold and soggy ."
positive,613,this is a wonderful place on all stand points especially value ofr money .
positive,614,an excellent service
positive,615,we were greeted promptly by the waiter who was very nice and cordial .
positive,616,she was very helpful in suggesting us drinks and helped us in ordering a lot of good dishes since we knew nothing about indian food .
positive,617,the food looked very appetizing and delicious since it came on a variety of fancy plates .
positive,618,we ended our great experience by having gulab jamun ( dessert ) recommended by the waiter .
Positive,619,i thanked my friend who recommended me this restaurant and will certainly recommend it to others .
positive,620,"service here was great , food was fantastic ."
positive,621,"guacamole + shrimp appetizer was really great , we both had the filet , very good , did n ' t much like the frites that came with , but the filet was so good , neither of us cared ."
positive,622,will absolutely visit again .
positive,623,you can not go wrong with this place .
positive,624,"the food is outstanding and the service is quick , friendly and very professional ."
positive,625,"always a nice crowd , but never loud ."
neutral,626,go here .
positive,627,good for dates or with friends .
positive,628,i am reluctant to write because i would not want my jem of a pizza place to become overcrowded .
positive,629,"however , it is jus too good to not praise it ."
positive,630,"by far , the best pizza in manhattan ."
positive,631,"the crust is thin , the ingredients are fresh and the staff is friendly ."
positive,632,the menu has so many fish items and oysters .
positive,633,"the fish was really , really fresh ."
positive,634,we all agreed that mare is one of the best seafood restaurants in new york .
positive,635,i stumbled upon this great pizzeria as i explored my new neighborhood .
positive,636,all of the pizzas are terrific and the price is even better !
positive,637,i highly recommend the sophia pizza .
positive,638,it ' s to die for !
Negative,639,the food was mediocre at best but it was the horrible service that made me vow never to go back .
Negative,640,"immediately after we paid , the waiter took the money and said , okay , you guys are outta here ."
negative,641,so rushing us out was absolutely unnecessary !
negative,642,"for the people who want great food plus great service , roxy is a place to avoid !"
Neutral,643,"the first time the sushi was outstanding , the second time it was a little bland ."
neutral,644,i ' m sure i ' ll return for a final judgement tho .
positive,645,"the blond wood decor is very soothing , the premium sake is excellent and the service is great ."
positive,646,mizu is the japenese find in grammercy .
positive,647,"while their kitchen food is delicious , their sushi is out of this world ."
positive,648,mizu is home to creative and unique rolls not to found anywhere else .
positive,649,"not only is the cuisine the best around , the service has always been attentive and charming ."
positive,650,warning : you may find it difficult to dine at other japanese restaurants after a visit to mizu !
